Player,scaled_pred,value,rating,rating_scaled
Jacob Ramsey,-0.5417261007502906,0.03910195256268342,-0.5026241481876071,-0.5054213631286792
Emi Buendía,0.8867354490869519,-0.004749833322043715,0.8819856157649082,0.887167126617672
Danny Ings,-0.5350414367339412,0.015499235233472063,-0.5195422015004691,-0.522436905648871
Philippe Coutinho,0.8664080299593313,0.0038511523599535397,0.8702591823192849,0.8753731203443552
Lucas Digne,-0.7449687986315594,0.08662011012927111,-0.6583486885022883,-0.6620432562129922
Ashley Young,-2.3325234978920166,0.04119202101636314,-2.2913314768756536,-2.304436004153082
Marvelous Nakamba,-2.1261433200835107,0.06493302937829208,-2.0612102907052186,-2.072988759268049
Leon Bailey,0,0.014034353508528831,0.014034353508528831,0.014214350357672762
Axel Tuanzebe,0,0.0017110344409918185,0.0017110344409918185,0.0018200189469690002
Kortney Hause,0,0.01802845912553892,0.01802845912553892,0.018231471754536065
Anwar El Ghazi,0,-0.01775397758585454,-0.01775397758585454,-0.017757158974975908
Morgan Sanson,0,0.01579531940862651,0.01579531940862651,0.015985463711887093
Carney Chukwuemeka,0,2.0813456656137904e-4,2.0813456656137904e-4,3.084587074986373e-4
Bertrand Traoré,0,6.152474528420416e-5,6.152474528420416e-5,1.6100405644118223e-4
Tim Iroegbunam,0,-0.00797749999522608,-0.00797749999522608,-0.007924345053378253
Robin Olsen,0,0.023046492963129935,0.023046492963129935,0.023278421693296292
Jed Steer,0,0.010793428708635835,0.010793428708635835,0.010954749934531976
Cameron Archer,0,-3.502391827772161e-4,-3.502391827772161e-4,-2.5313263509434245e-4
Keinan Davis,0,-5.940132190016223e-4,-5.940132190016223e-4,-4.983114037143508e-4
Trézéguet,0,-5.494712311906739e-4,-5.494712311906739e-4,-4.535127455286092e-4
Jaden Philogene Bidace,0,-2.1730037338995025e-4,-2.1730037338995025e-4,-1.194277742642266e-4
Wesley Moraes,0,-1.8572387493615003e-4,-1.8572387493615003e-4,-8.766931824429369e-5
Lamare Bogarde,0,NA,NA,NA
Benjamin Chrisene,0,NA,NA,NA
Josh Feeney,0,NA,NA,NA
Frederic Guilbert,0,NA,NA,NA
Conor Hourihane,0,NA,NA,NA
Kaine Kessler,0,NA,NA,NA
Filip Marshall,0,NA,NA,NA
Tommi O'Reilly,0,NA,NA,NA
Aaron Ramsey,0,NA,NA,NA
Viljami Sinisalo,0,NA,NA,NA
James Ward-Prowse,0.8045315246380417,0.18595576788763649,0.9904872925256781,0.9962940373971407
Oriol Romeu,0.2814769480996925,0.1500330682812866,0.4315100163809791,0.4340956902131819
Mohammed Salisu,-0.34074668789857515,0.15038035070704722,-0.19036633719152793,-0.19136418633598073
Jan Bednarek,0.09161960813392785,0.14174707110466989,0.23336667923859772,0.23481056467952002
Kyle Walker-Peters,-0.18115941898859375,0.14112875504468653,-0.040030663943907224,-0.04016221332282148
Valentino Livramento,-0.9104665010665068,0.07790060544827652,-0.8325658956182304,-0.8372643789160799
Mohamed Elyounoussi,-0.33502923817879604,0.08424983169415151,-0.25077940648464453,-0.2521253821025651
Che Adams,-0.2354310802204976,0.09304129677232227,-0.14238978344817532,-0.14311117074986407
Armando Broja,-1.493549547289316,0.11261588044109114,-1.380933666848225,-1.3887920845873363
Nathan Redmond,-0.8564981234481337,0.1363300868577297,-0.720168036590404,-0.724218834366784
Fraser Forster,-0.16677726877754007,0.08551138420398897,-0.08126588457355109,-0.0816350492914711
Romain Perraud,-1.9635492210865817,0.12583170786380055,-1.8377175132227812,-1.8482081188549437
Alex McCarthy,-0.8249164416768765,0.09581472931469323,-0.7291017123621832,-0.7332039898775987
Adam Armstrong,-1.1020884713402843,0.09881462247949932,-1.003273848860785,-1.0089560258932946
Stuart Armstrong,-1.1302303713420376,0.08495324245416773,-1.04527712888787,-1.0512013471528645
Ibrahima Diallo,-2.1230122782463,0.05213387654315165,-2.070878401703148,-2.0827125821413426
Nathan Tella,0,0.04628679191896573,0.04628679191896573,0.046652641395296734
Lyanco,-1.6596972414044528,0.06756230369142344,-1.5921349377130294,-1.6012103893568632
Jack Stephens,0,0.05822770281482062,0.05822770281482062,0.05866236103152529
Moussa Djenepo,0,0.009303436465985523,0.009303436465985523,0.009456171706249789
Theo Walcott,0,0.016970065054401455,0.016970065054401455,0.017166978754808555
Yan Valery,0,0.024198266356546174,0.024198266356546174,0.02443683210771437
Shane Long,0,0.014012856558349468,0.014012856558349468,0.014192729532683796
Willy Caballero,0,0.00673204000681521,0.00673204000681521,0.006869957738356734
William Smallbone,0,0.0032873785254817515,0.0032873785254817515,0.0034054466140930593
Kgagelo Chauke,0,NA,NA,NA
Tyler Dibling,0,NA,NA,NA
Harry Lewis,0,NA,NA,NA
Dynel Simeu,0,NA,NA,NA
Thierry Small,0,NA,NA,NA
Jordan Pickford,0.716177932348945,0.3457058363229204,1.0618837686718654,1.0681019312009579
Michael Keane,-0.7336057116166961,0.282244745388596,-0.45136096622810007,-0.4538627803401278
Séamus Coleman,-0.7318497972034175,0.284355133137015,-0.4474946640664025,-0.4499741988578682
Abdoulaye Doucouré,-0.4003119366155267,0.27906532721186367,-0.12124660940366305,-0.12184616050824819
Richarlison,-0.18625030163667855,0.28227481497008255,0.096024513333404,0.09667697326930823
Demarai Gray,-0.3879563513689964,0.21645375185155374,-0.17150259951744268,-0.17239174757205286
Anthony Gordon,-1.3095825242885435,0.2786479855286081,-1.0309345387599353,-1.0367761087605716
Allan,-1.031305311401426,0.24910188539360312,-0.7822034260078228,-0.786611698774313
Mason Holgate,-1.4027422468383008,0.2396197373905397,-1.163122509447761,-1.1697258042309462
Ben Godfrey,-1.439039461917405,0.18879081482209994,-1.250248647095305,-1.2573540007111401
Alex Iwobi,-1.1698530697373957,0.24750817741736217,-0.9223448923200335,-0.9275607213822842
Andros Townsend,-1.3112934006035577,0.12145244393875092,-1.1898409566648067,-1.1965982148025283
Dominic Calvert-Lewin,-1.5798463625820398,0.07651011874638529,-1.5033362438356546,-1.5118999986478294
Vitaliy Mykolenko,-1.6271316141646772,0.12083151285321309,-1.506300101311464,-1.514880935164035
Jonjoe Kenny,-2.1839296392515974,0.1436966385761124,-2.040233000675485,-2.051890588937308
Yerry Mina,0,0.07303339073506743,0.07303339073506743,0.07355336578773572
Salomón Rondón,0,0.05486527825442994,0.05486527825442994,0.05528056071323642
Fabian Delph,0,0.09770840847817086,0.09770840847817086,0.09837057175286082
André Gomes,0,0.04471460980732025,0.04471460980732025,0.045071399684121216
Jarrad Branthwaite,0,0.039246281317439756,0.039246281317439756,0.03957156029874709
Asmir Begović,0,0.010097903454526647,0.010097903454526647,0.010255216760336059
Tom Davies,0,0.006869583905039656,0.006869583905039656,0.007008294224555871
Jean-Philippe Gbamin,0,0.00498847647811472,0.00498847647811472,0.005116347035599113
Ellis Simms,0,0.023939677750029285,0.023939677750029285,0.02417675340078181
Lewis Dobbin,0,0.0020609379806427043,0.0020609379806427043,0.0021719387835360633
Tyler Onyango,0,0.0016898340268317658,0.0016898340268317658,0.0017986963667693148
Isaac Price,0,6.927821956163193e-4,6.927821956163193e-4,7.958990877240039e-4
Cenk Tosun,0,7.636051757024177e-4,7.636051757024177e-4,8.671301807331226e-4
Moise Kean,0,-1.4103068544452785e-5,-1.4103068544452785e-5,8.494044214033763e-5
Nathan Broadhead,0,NA,NA,NA
Andy Lonergan,0,NA,NA,NA
Niels Nkounkou,0,NA,NA,NA
Nathan Patterson,0,NA,NA,NA
Harry Tyrer,0,NA,NA,NA
Reece Welch,0,NA,NA,NA
Charlie Whitaker,0,NA,NA,NA
Illan Meslier,0.01469288953888551,0.17235651723325493,0.18704940677214044,0.18822639187323462
Stuart Dallas,-0.00860453457640713,0.14904637112285657,0.14044183654644943,0.14135024848532193
Raphael Dias Belloli,1.022279904182347,0.1436991421460141,1.165979046328361,1.1727970512812735
Jack Harrison,-0.7703994747133965,0.14545276662734224,-0.6249467080860542,-0.6284487990067985
Diego Llorente,-0.6246689695720189,0.08907376445681864,-0.5355952051152002,-0.5385824136770072
Rodrigo,0.10929722063900872,0.0942074477429113,0.20350466838192002,0.20477647588255837
Luke Ayling,-0.2779974539353084,0.12162281305173864,-0.15637464088356975,-0.15717661503770447
Mateusz Klich,-0.7207092912103099,0.11214467763064027,-0.6085646135796696,-0.6119723037216545
Pascal Struijk,-0.5505158152382185,0.11533695734609206,-0.4351788578921264,-0.4375874236329955
Liam Cooper,-1.162238754122891,0.05387132354365629,-1.1083674305792346,-1.1146552026992942
Junior Firpo,0.00780432926974326,0.12819853323861874,0.136002862508362,0.13688569514136947
Kalvin Phillips,-0.34182285725627876,0.0847927979194293,-0.25703005933684947,-0.2584120539446967
Robin Koch,-1.6473705169144934,0.08605335319326861,-1.5613171637212249,-1.5702150299004327
Adam Forshaw,-1.1320590390927958,0.11103895993198558,-1.0210200791608102,-1.02680451771792
Tyler Roberts,-1.9228448696760816,0.05276636476727242,-1.8700785049088091,-1.8807555886995124
Jamie Shackleton,0,0.028725503456646505,0.028725503456646505,0.028990157123966808
Patrick Bamford,0,3.0142120657638275e-4,3.0142120657638275e-4,4.0228290584977703e-4
Joe Gelhardt,0,0.046969665102857217,0.046969665102857217,0.04733944959252417
Sam Greenwood,0,0.0044543195420902095,0.0044543195420902095,0.004579112054168329
Lewis Bate,0,0.009458264160219757,0.009458264160219757,0.009611891585235097
Charlie Cresswell,0,0.006560300747885736,0.006560300747885736,0.006697228842859102
Cody Drameh,0,0.008069599709398542,0.008069599709398542,0.008215225043744579
Leo Fuhr Hjelde,0,1.7959356935538746e-4,1.7959356935538746e-4,2.7975324460959353e-4
Crysencio Summerville,0,0.0017508048237298186,0.0017508048237298186,0.0018600185040107235
Kristoffer Klaesson,0,6.709238916700954e-4,6.709238916700954e-4,7.739148266900534e-4
Hélder Costa,0,0.0019052891929458363,0.0019052891929458363,0.002015393079589211
Liam McCarron,0,2.7521527378826917e-4,2.7521527378826917e-4,3.7592596303896134e-4
Stuart McKinstry,0,3.688395242443991e-4,3.688395242443991e-4,4.7008971728994427e-4
Nohan Kenneh,0,NA,NA,NA
Archie Gray,0,NA,NA,NA
Jack Jenkins,0,NA,NA,NA
Kris Moore,0,NA,NA,NA
Nick Pope,1.2549784227544865,0.40815116370267523,1.6631295864571616,1.6728123898111933
Dwight McNeil,-0.5061467094894201,0.3809539065689324,-0.12519280292048768,-0.1258150937144928
James Tarkowski,-0.9821321796375364,0.36961997035322347,-0.6125122092843129,-0.6159426471957359
Josh Brownhill,-0.8120696725768153,0.37308176900571915,-0.4389879035710961,-0.4414184186956832
Charlie Taylor,-0.6148182773396699,0.295797162877752,-0.3190211144619179,-0.3207603285863324
Ashley Westwood,-0.9874237650864264,0.27741581507103347,-0.7100079500153929,-0.7140002009384038
Ben Mee,-0.9726546319433,0.2513141160613945,-0.7213405158819055,-0.7253980699957095
Maxwel Cornet,-0.47100759465685826,0.2000424427679119,-0.2709651518889464,-0.27242744658226137
Matthew Lowton,-1.726973669616549,0.21429027310463214,-1.5126833965119169,-1.521301013697519
Jack Cork,-1.6944752406540278,0.24320617464036434,-1.4512690660136633,-1.459532787021718
Connor Roberts,-1.6594626122327838,0.24564852932508704,-1.4138140829076968,-1.4218619719552994
Nathan Collins,-1.0283835365723046,0.16098494564278762,-0.867398590929517,-0.8722977954210086
Aaron Lennon,-2.5266899311850803,0.19923964740714914,-2.327450283777931,-2.3407629433853314
Wout Weghorst,-1.0124028052864034,0.18322859540713468,-0.8291742098792687,-0.8338531488035377
Jay Rodriguez,-1.7516703917905596,0.18865102319225022,-1.5630193685983094,-1.5719270436249722
Jóhann Berg Guðmundsson,-2.233452912514049,0.1320631624217383,-2.1013897500923107,-2.1133997502370643
Ashley Barnes,0,0.11039725052323239,0.11039725052323239,0.11113253244402364
Erik Pieters,0,0.13105551026362358,0.13105551026362358,0.13190983409364992
Matěj Vydra,0,0.04304608852487969,0.04304608852487969,0.0433932636537998
Kevin Long,0,0.07255221321538981,0.07255221321538981,0.07306941551317249
Wayne Hennessey,0,0.01546201866844191,0.01546201866844191,0.015650242347363383
Dale Stephens,0,0.0018386805934556025,0.0018386805934556025,0.0019484006522763806
Phil Bardsley,0,NA,NA,NA
Dara Costelloe,0,NA,NA,NA
Owen Dodgson,0,NA,NA,NA
Anthony Gomez Mancini,0,NA,NA,NA
Joseph McGlynn,0,NA,NA,NA
Will Norris,0,NA,NA,NA
Lewis Richardson,0,NA,NA,NA
Bobby Thomas,0,NA,NA,NA
Sam Waller,0,NA,NA,NA
Emmanuel Dennis,0.264866612595993,0.26020739731954723,0.5250740099155402,0.5281988403159138
Craig Cathcart,-1.192930884080863,0.2512388392082636,-0.9416920448725994,-0.9470193606722163
Joshua King,-0.6717209352690541,0.24397515646811865,-0.42774577880093545,-0.43011151189580094
Ben Foster,-0.12976457258207208,0.19678109290892704,0.06701652032685496,0.06750182354607674
Kiko Femenía,-0.918549570396648,0.190452225449728,-0.7280973449469199,-0.7321938348589172
Juraj Kucka,-0.9754417064112388,0.17417066402003784,-0.8012710423912011,-0.8057891910856428
Ismaila Sarr,-1.0459947063619592,0.1801266341825726,-0.8658680721793867,-0.8707584571538218
Tom Cleverley,-1.7876189628814938,0.18486014366294337,-1.6027588192185505,-1.6118954903045732
Samir Santos,-1.041011185681425,0.1552630281422486,-0.8857481575391765,-0.8907531002424197
Hassane Kamara,-1.772784036639259,0.16250297938346622,-1.6102810572557928,-1.619461074760581
Imran Louza,-1.2926342961139714,0.1767124567543135,-1.115921839359658,-1.1222531432803466
João Pedro,-0.7912592197631718,0.1480274081333009,-0.643231811629871,-0.6468392692980457
William Troost-Ekong,-1.6078919968315533,0.1496013989334547,-1.4582905978980985,-1.4665947800375254
Adam Masina,-1.9166467537058447,0.11607378620826289,-1.8005729674975819,-1.8108495300449752
Christian Kabasele,-1.475474736165196,0.10516324326379503,-1.370311492901401,-1.3781087010380217
Daniel Bachmann,0.03607555367442983,0.14186495361422247,0.1779405072886523,0.17906500293520522
Cucho,-2.3611047167782027,0.10700899462990726,-2.2540957221482953,-2.2669856807548743
Jeremy Ngakia,-3.29560430160539,0.09770642014163973,-3.19789788146375,-3.2162264400490783
Edo Kayembe,0,0.06460835248101378,0.06460835248101378,0.06507977878602643
Ken Sema,0,0.07504860415637231,0.07504860415637231,0.07558019174834463
Danny Rose,0,0.06502169999319413,0.06502169999319413,0.06549550818698374
Francisco Sierralta,0,0.06125532573683175,0.06125532573683175,0.061707430438265015
Oghenekaro Etebo,0,0.04130110556069041,0.04130110556069041,0.04163822533614657
Ozan Tufan,0,0.014219138772525834,0.014219138772525834,0.014400200435013248
Samuel Kalu,0,0.01309933894881321,0.01309933894881321,0.013273947835962767
Nicolas Nkoulou,0,0.013572635982501465,0.013572635982501465,0.013749972213736805
Dan Gosling,0,0.009097123560395338,0.009097123560395338,0.009248669935649196
Ashley Fletcher,0,0.001008496070836955,0.001008496070836955,0.0011134322440917723
Troy Deeney,0,0.0014896131514678893,0.0014896131514678893,0.0015973217313321525
Vincent Angelini,0,NA,NA,NA
Kwadwo Baah,0,NA,NA,NA
Adrian Blake,0,NA,NA,NA
Kamil Conteh,0,NA,NA,NA
Tiago Çukur,0,NA,NA,NA
Rob Elliot,0,NA,NA,NA
Shaqai Forde,0,NA,NA,NA
Jack Grieves,0,NA,NA,NA
James Morris,0,NA,NA,NA
Teemu Pukki,-0.4227435164299906,0.2875973916777544,-0.1351461247522362,-0.1358257709309142
Grant Hanley,0.28537966337089404,0.263526141243982,0.548905804614876,0.5521679642180557
Max Aarons,-0.5236417025242184,0.26836320511814804,-0.25527849740607034,-0.2566503987495766
Kenny McLean,-1.7231578950220243,0.21930611760881621,-1.503851777413208,-1.5124185029548693
Tim Krul,0.6796112631610964,0.19265425891769916,0.8722655220787956,0.8773910215092576
Ben Gibson,-0.5000655452223827,0.2090885457168669,-0.29097699950551575,-0.292554611199272
Pierre Lees-Melou,-0.9860735631322872,0.20304473687373967,-0.7830288262585475,-0.787441855341541
Milot Rashica,-1.6701613560114337,0.21232824337166162,-1.4578331126397721,-1.4661346585494643
Billy Gilmour,-0.3194011925075982,0.19406506554721037,-0.12533612696038782,-0.12595924365006678
Mathias Normann,-0.948893637734122,0.133678163837157,-0.815215473896965,-0.8198139764920017
Josh Sargent,-2.2128347321676114,0.14432975953434107,-2.0685049726332703,-2.080325476337245
Dimitris Giannoulis,-1.036478544740724,0.10372090268456562,-0.9327576420561585,-0.9380334739271914
Sam Byram,-1.505862579963436,0.07106403595637663,-1.4347985440070594,-1.442967354678503
Ozan Kabak,-0.7994103202835662,0.0728361385294805,-0.7265741817540857,-0.7306618945349582
Kieran Dowell,-2.047755707130498,0.07044990630780519,-1.977305800822693,-1.9886007750934322
Angus Gunn,0,0.10398022599235417,0.10398022599235417,0.10467853021699078
Lukas Rupp,0,0.07577368673219106,0.07577368673219106,0.07630945256643855
Adam Idah,0,0.031144068401653256,0.031144068401653256,0.03142265889580606
Jakob Sørensen,0,0.035938312164087244,0.035938312164087244,0.03624452918331962
Przemysław Płacheta,0,0.047983164197937196,0.047983164197937196,0.04835878891174706
Todd Cantwell,0,0.047333685280440706,0.047333685280440706,0.047705567413253026
Andrew Omobamidele,0,0.030186465491694348,0.030186465491694348,0.030459537859919644
Christos Tzolis,0,0.01042099754376321,0.01042099754376321,0.010580172658734122
Christoph Zimmermann,0,0.018425466620131333,0.018425466620131333,0.018630766979592265
Tony Springett,0,0.0175564495233599,0.0175564495233599,0.017756742227013535
Jon Rowe,0,0.00808188963075718,0.00808188963075718,0.008227585784994208
Bali Mumba,0,0.006989911030017701,0.006989911030017701,0.007129314726946639
Thomas Dickson-Peters,0,NA,NA,NA
Liam Gibbs,0,NA,NA,NA
Abu Kamara,0,NA,NA,NA
Jon McCracken,0,NA,NA,NA
Michael McGovern,0,NA,NA,NA
Jonathan Tomkinson,0,NA,NA,NA
