Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled,Nation,Pos,Age,overall,UrlFBref
Ederson,2022,Manchester City,Premier League,3330,88.14835514,3.684917565,BRA,GK,27,89,https://fbref.com/en/players/3bb7b8b4/Ederson
João Cancelo,2022,Manchester City,Premier League,3227,88.39155393,3.776152483,POR,DF,27,86,https://fbref.com/en/players/bd6351cd/Joao-Cancelo
Rodri,2022,Manchester City,Premier League,2884,87.50666459,3.444190274,ESP,MF,25,86,https://fbref.com/en/players/6434f10d/Rodri
Bernardo Silva,2022,Manchester City,Premier League,2857,86.60290821,3.105150184,POR,"MF,FW",26,86,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva
Aymeric Laporte,2022,Manchester City,Premier League,2828,86.94222412,3.232443004,ESP,DF,27,86,https://fbref.com/en/players/119b9a8e/Aymeric-Laporte
Rúben Dias,2022,Manchester City,Premier League,2402,87.23700289,3.343027916,POR,DF,24,87,https://fbref.com/en/players/31c69ef1/Ruben-Dias
Kevin De Bruyne,2022,Manchester City,Premier League,2201,86.60225618,3.104905579,BEL,MF,30,91,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
Phil Foden,2022,Manchester City,Premier League,2128,87.30791481,3.369630199,ENG,FW,21,84,https://fbref.com/en/players/ed1e53f3/Phil-Foden
Raheem Sterling,2022,Manchester City,Premier League,2128,86.64788925,3.122024615,ENG,FW,26,88,https://fbref.com/en/players/b400bde0/Raheem-Sterling
Jack Grealish,2022,Manchester City,Premier League,1914,85.99605118,2.877490531,ENG,FW,25,84,https://fbref.com/en/players/b0b4fd3e/Jack-Grealish
Gabriel Jesus,2022,Manchester City,Premier League,1877,86.3261597,3.001329241,BRA,FW,24,83,https://fbref.com/en/players/b66315ae/Gabriel-Jesus
İlkay Gündoğan,2022,Manchester City,Premier League,1857,87.76582785,3.541414191,GER,MF,30,85,https://fbref.com/en/players/819b3158/Ilkay-Gundogan
Kyle Walker,2022,Manchester City,Premier League,1755,82.89184237,1.712960729,ENG,DF,31,85,https://fbref.com/en/players/86dd77d1/Kyle-Walker
Riyad Mahrez,2022,Manchester City,Premier League,1498,83.56571764,1.965761969,ALG,FW,30,86,https://fbref.com/en/players/892d5bb1/Riyad-Mahrez
John Stones,2022,Manchester City,Premier League,1119,80.48767726,0.811049132,ENG,DF,27,83,https://fbref.com/en/players/5eecec3d/John-Stones
Oleksandr Zinchenko,2022,Manchester City,Premier League,1047,84.35965587,2.26360428,UKR,DF,24,80,https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko
Fernandinho,2022,Manchester City,Premier League,964,81.80161437,1.303966657,BRA,"MF,DF",36,83,https://fbref.com/en/players/101da2b5/Fernandinho
Nathan Aké,2022,Manchester City,Premier League,923,81.05322472,1.023211688,NED,DF,26,78,https://fbref.com/en/players/eaeca114/Nathan-Ake
Ferrán Torres,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,82,NA
Cole Palmer,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,63,NA
Zack Steffen,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,77,NA
Benjamin Mendy,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,79,NA
James Mcatee,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,61,NA
Liam Delap,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,64,NA
Kayky Chagas,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,66,NA
CJ Egan-Riley,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,59,NA
Scott Carson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Thomas Doyle,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Samuel Edozie,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Roméo Lavia,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Luke Mbete-Tatu,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Cieran Slicker,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Josh Wilson-Esbrand,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Alisson,2022,Liverpool,Premier League,3240,87.27274296,3.35643564,BRA,GK,28,89,https://fbref.com/en/players/7a2e46a8/Alisson
Virgil van Dijk,2022,Liverpool,Premier League,3060,82.84423101,1.695099545,NED,DF,30,89,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk
Trent Alexander-Arnold,2022,Liverpool,Premier League,2853,85.43065664,2.665385344,ENG,DF,22,87,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold
Sadio Mané,2022,Liverpool,Premier League,2819,87.65663857,3.50045233,SEN,FW,29,89,https://fbref.com/en/players/c691bfe2/Sadio-Mane
Joël Matip,2022,Liverpool,Premier League,2790,83.03468885,1.766548934,CMR,DF,29,83,https://fbref.com/en/players/b217ef29/Joel-Matip
Mohamed Salah,2022,Liverpool,Premier League,2762,90.13389432,4.429783547,EGY,FW,29,89,https://fbref.com/en/players/e342ad68/Mohamed-Salah
Jordan Henderson,2022,Liverpool,Premier League,2597,82.31353054,1.49600968,ENG,MF,31,84,https://fbref.com/en/players/935e6b8f/Jordan-Henderson
Andrew Robertson,2022,Liverpool,Premier League,2537,84.39335631,2.276246849,SCO,DF,27,87,https://fbref.com/en/players/2e4f5f03/Andrew-Robertson
Diogo Jota,2022,Liverpool,Premier League,2364,85.19234302,2.575983074,POR,FW,24,82,https://fbref.com/en/players/178ae8f8/Diogo-Jota
Fabinho,2022,Liverpool,Premier League,2314,81.11434496,1.046140667,BRA,MF,27,86,https://fbref.com/en/players/7f3b388c/Fabinho
Thiago Alcántara,2022,Liverpool,Premier League,1534,84.88515742,2.460743795,ESP,MF,30,86,https://fbref.com/en/players/77e84962/Thiago-Alcantara
Naby Keïta,2022,Liverpool,Premier League,1173,80.21147756,0.707434073,GUI,MF,26,80,https://fbref.com/en/players/f25c8e3a/Naby-Keita
Ibrahima Konaté,2022,Liverpool,Premier League,990,77.32976317,-0.373627961,FRA,DF,22,78,https://fbref.com/en/players/5ed9b537/Ibrahima-Konate
Luis Díaz,2022,Liverpool,Premier League,958,85.32550294,2.625937413,COL,FW,24,80,https://fbref.com/en/players/4a1a9578/Luis-Diaz
Roberto Firmino,2022,Liverpool,Premier League,990,85.44965402,2.672512126,BRA,FW,29,85,https://fbref.com/en/players/4c370d81/Roberto-Firmino
Curtis Jones,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,73,NA
Kostas Tsimikas,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
James Milner,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,79,NA
Alex Oxlade-Chamberlain,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,79,NA
Harvey Elliott,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,73,NA
Joe Gomez,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,82,NA
Caoimhín Kelleher,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,67,NA
Takumi Minamino,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
Tyler Morton,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,57,NA
Divock Origi,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,76,NA
Kaide Gordon,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,58,NA
Neco Williams,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Adrián,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Owen Beck,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Conor Bradley,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Nathaniel Phillips,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Marcelo Pitaluga,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Jarrell Quansah,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Rhys Williams,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Ben Woodburn,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Edouard Mendy,2022,Chelsea,Premier League,3060,83.67536683,2.006896362,SEN,GK,29,83,https://fbref.com/en/players/33887998/Edouard-Mendy
Antonio Rüdiger,2022,Chelsea,Premier League,3035,83.46656822,1.928566516,GER,DF,28,83,https://fbref.com/en/players/18b896d6/Antonio-Rudiger
Thiago Silva,2022,Chelsea,Premier League,2650,81.6422501,1.244181876,BRA,DF,36,85,https://fbref.com/en/players/86e7deaf/Thiago-Silva
Mason Mount,2022,Chelsea,Premier League,2363,84.44487408,2.295573504,ENG,"MF,FW",22,83,https://fbref.com/en/players/9674002f/Mason-Mount
Jorginho,2022,Chelsea,Premier League,2273,82.74600916,1.658252062,ITA,MF,29,85,https://fbref.com/en/players/45db685d/Jorginho
Marcos Alonso,2022,Chelsea,Premier League,2167,80.98855218,0.998950078,ESP,DF,30,79,https://fbref.com/en/players/f4290206/Marcos-Alonso
César Azpilicueta,2022,Chelsea,Premier League,2070,81.56533046,1.215325824,ESP,DF,31,83,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta
Reece James,2022,Chelsea,Premier League,1864,87.35088217,3.385749211,ENG,DF,21,81,https://fbref.com/en/players/1265a93a/Reece-James
Kai Havertz,2022,Chelsea,Premier League,1809,83.62307671,1.987279961,GER,"FW,MF",22,84,https://fbref.com/en/players/fed7cb61/Kai-Havertz
N'Golo Kanté,2022,Chelsea,Premier League,1773,83.1649972,1.815433519,FRA,MF,30,90,https://fbref.com/en/players/b9fbae28/NGolo-Kante
Andreas Christensen,2022,Chelsea,Premier League,1496,79.46901717,0.428903436,DEN,DF,25,80,https://fbref.com/en/players/1cb49278/Andreas-Christensen
Trevoh Chalobah,2022,Chelsea,Premier League,1449,82.97615375,1.74458976,ENG,DF,22,73,https://fbref.com/en/players/5515376c/Trevoh-Chalobah
Romelu Lukaku,2022,Chelsea,Premier League,1589,78.33122659,0.002066481,BEL,FW,28,88,https://fbref.com/en/players/5eae500a/Romelu-Lukaku
Mateo Kovačić,2022,Chelsea,Premier League,1558,82.71696057,1.647354618,CRO,MF,27,83,https://fbref.com/en/players/79c0821a/Mateo-Kovacic
Timo Werner,2022,Chelsea,Premier League,1283,79.1190581,0.297617887,GER,"FW,MF",25,84,https://fbref.com/en/players/49fe9070/Timo-Werner
Hakim Ziyech,2022,Chelsea,Premier League,1319,81.26837411,1.103924001,MAR,"FW,MF",28,84,https://fbref.com/en/players/6622454d/Hakim-Ziyech
Ruben Loftus-Cheek,2022,Chelsea,Premier League,1394,81.11952504,1.048083951,ENG,"MF,DF",25,75,https://fbref.com/en/players/e97fd090/Ruben-Loftus-Cheek
Christian Pulisic,2022,Chelsea,Premier League,1290,77.67012951,-0.245941078,USA,"MF,FW",22,82,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic
Callum Hudson-Odoi,2022,Chelsea,Premier League,962,78.61687699,0.10922693,ENG,"FW,MF",20,77,https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi
Malang Sarr,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Ben Chilwell,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,82,NA
Saúl Ñíguez,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,82,NA
Kepa Arrizabalaga,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,79,NA
Ross Barkley,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,78,NA
Kenedy,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,78,NA
Emerson Palmieri,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,78,NA
Tammy Abraham,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Marcus Bettinelli,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Lewis Hall,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Harvey Vale,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Kurt Zouma,2022,West Ham,Premier League,2078,77.47294067,-0.319915575,FRA,DF,26,81,https://fbref.com/en/players/ce4246f5/Kurt-Zouma
Hugo Lloris,2022,Tottenham,Premier League,3420,84.19555042,2.202040869,FRA,GK,34,87,https://fbref.com/en/players/8f62b6ee/Hugo-Lloris
Harry Kane,2022,Tottenham,Premier League,3232,86.78121889,3.172042625,ENG,FW,28,90,https://fbref.com/en/players/21a66f6a/Harry-Kane
Pierre Højbjerg,2022,Tottenham,Premier League,3196,83.23072326,1.840090353,DEN,MF,25,83,https://fbref.com/en/players/8b04d6c1/Pierre-Hojbjerg
Eric Dier,2022,Tottenham,Premier League,3071,81.90873415,1.344152154,ENG,DF,27,79,https://fbref.com/en/players/ac861941/Eric-Dier
Son Heung-min,2022,Tottenham,Premier League,3006,86.69344732,3.139115517,KOR,"FW,MF",29,89,https://fbref.com/en/players/92e7e919/Son-Heung-min
Ben Davies,2022,Tottenham,Premier League,2538,78.76154972,0.163500246,WAL,DF,28,73,https://fbref.com/en/players/44781702/Ben-Davies
Emerson,2022,Tottenham,Premier League,2286,78.77324774,0.167888704,BRA,DF,22,79,https://fbref.com/en/players/df8b52a5/Emerson
Sergio Reguilón,2022,Tottenham,Premier League,1916,79.78023294,0.545654615,ESP,DF,24,81,https://fbref.com/en/players/3353737a/Sergio-Reguilon
Cristian Romero,2022,Tottenham,Premier League,1844,79.8721595,0.580140446,ARG,DF,23,82,https://fbref.com/en/players/a3d94a58/Cristian-Romero
Lucas Moura,2022,Tottenham,Premier League,1775,78.48113392,0.058303535,BRA,"FW,MF",28,81,https://fbref.com/en/players/2b622f01/Lucas-Moura
Davinson Sánchez,2022,Tottenham,Premier League,1631,80.17862539,0.695109732,COL,DF,25,79,https://fbref.com/en/players/da7b447d/Davinson-Sanchez
Rodrigo Bentancur,2022,Tottenham,Premier League,1361,83.92052704,2.098867098,URU,MF,24,78,https://fbref.com/en/players/3b8674e6/Rodrigo-Bentancur
Oliver Skipp,2022,Tottenham,Premier League,1350,78.01401517,-0.11693394,ENG,MF,20,75,https://fbref.com/en/players/6250083a/Oliver-Skipp
Dejan Kulusevski,2022,Tottenham,Premier League,1261,83.59504237,1.976763006,SWE,"MF,FW",21,81,https://fbref.com/en/players/df3cda47/Dejan-Kulusevski
Ryan Sessegnon,2022,Tottenham,Premier League,1047,78.27999772,-0.017151795,ENG,DF,21,75,https://fbref.com/en/players/6aa3e78b/Ryan-Sessegnon
Japhet Tanganga,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Harry Winks,2022,Tottenham,Premier League,912,78.74421528,0.156997309,ENG,MF,25,77,https://fbref.com/en/players/2f7acede/Harry-Winks
Matt Doherty,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,78,NA
Dele Alli,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,80,NA
Tanguy Ndombele,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,82,NA
Steven Bergwijn,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,80,NA
Giovani Lo Celso,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,81,NA
Bryan,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,76,NA
Joe Rodon,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,72,NA
Dane Scarlett,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,63,NA
Brandon Austin,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Jamie Bowden,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Matthew Craig,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Alfie Devine,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Pierluigi Gollini,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Marcel Lavinier,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Dilan Markanday,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Tobi Omole,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Moussa Sissoko,2022,Watford,Premier League,3220,77.73284835,-0.222412391,FRA,MF,31,78,https://fbref.com/en/players/2acd49b9/Moussa-Sissoko
Harvey White,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Bukayo Saka,2022,Arsenal,Premier League,2978,82.33208757,1.502971265,ENG,"FW,MF",19,80,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
Gabriel Dos Santos,2022,Arsenal,Premier League,3063,81.14153184,1.056339703,BRA,DF,23,79,https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos
Aaron Ramsdale,2022,Arsenal,Premier League,3060,78.9173139,0.221934468,ENG,GK,23,74,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale
Ben White,2022,Arsenal,Premier League,2880,78.7550712,0.161069859,ENG,DF,23,76,https://fbref.com/en/players/35e413f1/Ben-White
Martin Ødegaard,2022,Arsenal,Premier League,2785,80.83076227,0.939755911,NOR,MF,22,82,https://fbref.com/en/players/79300479/Martin-Odegaard
Granit Xhaka,2022,Arsenal,Premier League,2327,80.11228981,0.67022424,SUI,"MF,DF",28,79,https://fbref.com/en/players/e61b8aee/Granit-Xhaka
Thomas Partey,2022,Arsenal,Premier League,2028,80.4823078,0.809034803,GHA,MF,28,83,https://fbref.com/en/players/529f49ab/Thomas-Partey
Kieran Tierney,2022,Arsenal,Premier League,1915,77.56523484,-0.285291834,SCO,DF,24,80,https://fbref.com/en/players/fce2302c/Kieran-Tierney
Emile Smith Rowe,2022,Arsenal,Premier League,1921,78.15035528,-0.065786566,ENG,"MF,FW",21,76,https://fbref.com/en/players/17695062/Emile-Smith-Rowe
Martinelli,2022,Arsenal,Premier League,1860,79.4879304,0.435998649,BRA,"FW,MF",20,76,https://fbref.com/en/players/48a5a5d6/Martinelli
Alexandre Lacazette,2022,Arsenal,Premier League,1782,77.47174081,-0.320365697,FRA,"FW,MF",30,82,https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette
Takehiro Tomiyasu,2022,Arsenal,Premier League,1679,76.33535423,-0.746675948,JPN,DF,22,75,https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu
Cédric Soares,2022,Arsenal,Premier League,1486,77.09780513,-0.460645964,POR,DF,29,76,https://fbref.com/en/players/839c14e1/Cedric-Soares
Nuno Tavares,2022,Arsenal,Premier League,1176,76.8522613,-0.552760615,POR,DF,21,70,https://fbref.com/en/players/a65c844b/Nuno-Tavares
Albert Sambi Lokonga,2022,Arsenal,Premier League,1134,76.36250726,-0.736489614,BEL,MF,21,73,https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga
Pierre-Emerick Aubameyang,2022,Arsenal,Premier League,1037,77.1378403,-0.445626951,GAB,FW,32,85,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
Rob Holding,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,77,NA
Eddie Nketiah,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,74,NA
Mohamed Elneny,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,77,NA
Nicolas Pépé,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,81,NA
Bernd Leno,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,83,NA
Ainsley Maitland-Niles,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
Pablo Marí,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,76,NA
Calum Chambers,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
Sead Kolašinac,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,75,NA
Folarin Balogun,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,64,NA
Reiss Nelson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,72,NA
Ryan Alebiousu,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Zach Awe,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Miguel Azeez,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Héctor Bellerín,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Mika Biereth,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Marcelo Flores,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Omari Hutchinson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Karl Jakob Hein,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Alex Kirk,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Mazeed Ogungbo,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
